len_s,len_t,measuring,where,key,value
100000000,500000,wl_calls,runs,a_na_nowl_narrow,217284
100000000,500000,wl_calls,runs,a_na_nowl_wide,5366
100000000,500000,wl_calls,runs,a_na_wl_narrow,79716
100000000,500000,wl_calls,runs,a_na_wl_wide,3770
100000000,500000,wl_calls,runs,b_na_nowl_narrow,218399
100000000,500000,wl_calls,runs,b_na_nowl_wide,5203
100000000,500000,wl_calls,runs,b_na_wl_narrow,79947
100000000,500000,wl_calls,runs,b_na_wl_wide,3596
100000000,500000,wl_calls,runs,c_na_nowl_narrow,217546
100000000,500000,wl_calls,runs,c_na_nowl_wide,4583
100000000,500000,wl_calls,runs,c_na_wl_narrow,78641
100000000,500000,wl_calls,runs,c_na_wl_wide,3684
100000000,500000,wl_calls,runs,d_na_nowl_narrow,221287
100000000,500000,wl_calls,runs,d_na_nowl_wide,5249
100000000,500000,wl_calls,runs,d_na_wl_narrow,78617
100000000,500000,wl_calls,runs,d_na_wl_wide,3629
100000000,500000,wl_calls,ms,?_maxrep_nowl_narrow,1
100000000,500000,wl_calls,ms,?_maxrep_wl_wide,1
100000000,500000,wl_calls,ms,a_maxrep_nowl_narrow,30717
100000000,500000,wl_calls,ms,a_maxrep_nowl_wide,1112
100000000,500000,wl_calls,ms,a_maxrep_wl_narrow,51389
100000000,500000,wl_calls,ms,a_maxrep_wl_wide,3616
100000000,500000,wl_calls,ms,a_na_nowl_narrow,103416
100000000,500000,wl_calls,ms,a_na_nowl_wide,2896
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_narrow,84541
100000000,500000,wl_calls,ms,a_nomaxrep_nowl_wide,941
100000000,500000,wl_calls,ms,a_nomaxrep_wl_narrow,28168
100000000,500000,wl_calls,ms,a_nomaxrep_wl_wide,327
100000000,500000,wl_calls,ms,b_maxrep_nowl_narrow,31352
100000000,500000,wl_calls,ms,b_maxrep_nowl_wide,1122
100000000,500000,wl_calls,ms,b_maxrep_wl_narrow,51216
100000000,500000,wl_calls,ms,b_maxrep_wl_wide,3227
100000000,500000,wl_calls,ms,b_na_nowl_narrow,102459
100000000,500000,wl_calls,ms,b_na_nowl_wide,2925
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_narrow,85260
100000000,500000,wl_calls,ms,b_nomaxrep_nowl_wide,1000
100000000,500000,wl_calls,ms,b_nomaxrep_wl_narrow,28305
100000000,500000,wl_calls,ms,b_nomaxrep_wl_wide,328
100000000,500000,wl_calls,ms,c_maxrep_nowl_narrow,32408
100000000,500000,wl_calls,ms,c_maxrep_nowl_wide,1186
100000000,500000,wl_calls,ms,c_maxrep_wl_narrow,50591
100000000,500000,wl_calls,ms,c_maxrep_wl_wide,3210
100000000,500000,wl_calls,ms,c_na_nowl_narrow,100979
100000000,500000,wl_calls,ms,c_na_nowl_wide,3077
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_narrow,82997
100000000,500000,wl_calls,ms,c_nomaxrep_nowl_wide,956
100000000,500000,wl_calls,ms,c_nomaxrep_wl_narrow,28491
100000000,500000,wl_calls,ms,c_nomaxrep_wl_wide,330
100000000,500000,wl_calls,ms,d_maxrep_nowl_narrow,31909
100000000,500000,wl_calls,ms,d_maxrep_nowl_wide,1196
100000000,500000,wl_calls,ms,d_maxrep_wl_narrow,50391
100000000,500000,wl_calls,ms,d_maxrep_wl_wide,3572
100000000,500000,wl_calls,ms,d_na_nowl_narrow,103879
100000000,500000,wl_calls,ms,d_na_nowl_wide,3103
100000000,500000,wl_calls,ms,d_nomaxrep_nowl_narrow,85112
100000000,500000,wl_calls,ms,d_nomaxrep_nowl_wide,977
100000000,500000,wl_calls,ms,d_nomaxrep_wl_narrow,27723
100000000,500000,wl_calls,ms,d_nomaxrep_wl_wide,300
100000000,500000,pseq,runs,1,201745
100000000,500000,pseq,runs,2,86902
100000000,500000,pseq,runs,3,14341
100000000,500000,pseq,runs,4,945
100000000,500000,pseq,runs,5,35
100000000,500000,pseq,runs,6,1
100000000,500000,pseq,runs,7,2
100000000,500000,pseq,ms,1,201378
100000000,500000,pseq,ms,2,87420
100000000,500000,pseq,ms,3,14222
100000000,500000,pseq,ms,4,913
100000000,500000,pseq,ms,5,34
100000000,500000,pseq,ms,6,1
100000000,500000,pseq,ms,7,2
100000000,500000,pseq,ms,8,1
100000000,500000,wlseq,ms,0,167218
100000000,500000,wlseq,ms,1,93251
100000000,500000,wlseq,ms,2,31809
100000000,500000,wlseq,ms,3,8640
100000000,500000,wlseq,ms,4,2283
100000000,500000,wlseq,ms,5,590
100000000,500000,wlseq,ms,6,126
100000000,500000,wlseq,ms,7,42
100000000,500000,wlseq,ms,8,10
100000000,500000,wlseq,ms,9,3
